TITLE="foil"
VARIABLES="Iteration" "Residual_rho" "Residual_rhou" "Residual_rhov" "Residual_rhop"
ZONE  F=POINT
1 0.081979 0.161029 0.0741999 0.322338
51 0.00770579 0.0118765 0.008322 0.0305814
101 0.00369534 0.00615349 0.00443583 0.0138684
151 0.00239273 0.00381982 0.00299299 0.00859929
201 0.00170687 0.00268711 0.00199601 0.0063803
251 0.00126528 0.00192226 0.00149899 0.00481841
301 0.00100497 0.00147997 0.00115575 0.00366061
351 0.000807534 0.00116696 0.000885892 0.00288453
401 0.000667566 0.00094452 0.000747208 0.00229019
451 0.000558518 0.000775115 0.000600422 0.00190757
501 0.000481208 0.000723155 0.000496861 0.00156322
551 0.000411788 0.000666572 0.000427608 0.0012988
601 0.000363542 0.000610553 0.0003648 0.00113174
651 0.000325598 0.000556246 0.000317624 0.00097781
701 3.049963e-04 5.442329e-04 3.103640e-04 9.152177e-04
751 2.761616e-04 5.012277e-04 2.702433e-04 8.218761e-04
801 2.498314e-04 4.618059e-04 2.360612e-04 7.442678e-04
851 2.244680e-04 4.247844e-04 2.136517e-04 6.617670e-04
901 2.047710e-04 4.005813e-04 1.903114e-04 6.024118e-04
951 1.889608e-04 3.744122e-04 1.711704e-04 5.534690e-04
1001 1.726902e-04 3.477273e-04 1.529620e-04 5.057961e-04
1051 1.600608e-04 3.268260e-04 1.391207e-04 4.655161e-04
1101 1.483497e-04 3.084746e-04 1.262826e-04 4.306313e-04
1151 1.387998e-04 2.906235e-04 1.171268e-04 4.029739e-04
1201 1.286454e-04 2.758036e-04 1.082677e-04 3.733243e-04
1251 1.207180e-04 2.615526e-04 9.994495e-05 3.487554e-04
1301 1.129422e-04 2.494719e-04 9.277062e-05 3.261069e-04
1351 1.057817e-04 2.391452e-04 8.621100e-05 3.036437e-04
1401 1.001648e-04 2.281202e-04 8.108044e-05 2.872554e-04
1451 9.425085e-05 2.181680e-04 7.625227e-05 2.701686e-04
1501 8.973829e-05 2.089606e-04 7.203496e-05 2.570452e-04
1551 8.510771e-05 2.004930e-04 6.736621e-05 2.437664e-04
1601 8.031647e-05 1.935185e-04 6.385844e-05 2.299584e-04
1651 7.635011e-05 1.865008e-04 6.045191e-05 2.185458e-04
1701 7.306792e-05 1.799915e-04 5.791015e-05 2.086265e-04
1751 6.966217e-05 1.733108e-04 5.513357e-05 1.988284e-04
1801 6.638312e-05 1.670082e-04 5.228698e-05 1.891022e-04
1851 6.385689e-05 1.614916e-04 5.032752e-05 1.818883e-04
1901 6.121778e-05 1.561537e-04 4.820309e-05 1.743447e-04
1951 5.869426e-05 1.510827e-04 4.596844e-05 1.677636e-04
2001 5.666104e-05 1.460678e-04 4.367047e-05 1.610879e-04
2051 5.468638e-05 1.413379e-04 4.135073e-05 1.554778e-04
2101 5.273659e-05 1.366548e-04 3.992572e-05 1.499500e-04
2151 5.143528e-05 1.318810e-04 3.846913e-05 1.460849e-04
2201 5.003880e-05 1.279463e-04 3.696409e-05 1.422096e-04
2251 4.901099e-05 1.237230e-04 3.574012e-05 1.395990e-04
2301 4.802593e-05 1.197724e-04 3.461696e-05 1.369802e-04
2351 4.712767e-05 1.162275e-04 3.344687e-05 1.344598e-04
2401 4.653949e-05 1.124437e-04 3.224509e-05 1.329238e-04
