2024/01/12 21:28:35
istep	cpu_time[s]	error_L1	error_L2	error_max
1	0.716	0.0176019	0.0677993	0.505204
51	5.165	0.0176592	0.0643125	0.469051
101	9.576	0.0176441	0.0608672	0.437329
151	13.994	0.0176281	0.0571316	0.405673
201	18.369	0.0176156	0.0531287	0.368214
251	22.877	0.0176058	0.0491377	0.332875
301	27.423	0.0175953	0.0454292	0.302561
351	31.943	0.0175878	0.0421374	0.276732
401	36.52	0.0175844	0.0392831	0.254302
451	41.006	0.0175825	0.0368421	0.234531
501	45.534	0.0175821	0.0347807	0.216993
551	50.039	0.0175821	0.0330466	0.201407
601	54.498	0.0175821	0.0315681	0.187539
651	59.286	0.0175821	0.0302873	0.175173
701	63.74	0.0175821	0.0291981	0.164124
751	68.246	0.0175821	0.0283374	0.154279
801	72.567	0.0175821	0.0277364	0.145657
851	77.093	0.0175821	0.0273811	0.138415
901	81.488	0.0175821	0.0272148	0.132722
951	85.984	0.0175821	0.0271655	0.128544
1001	92.347	0.0175821	0.0271674	0.125511
1051	98.404	0.0175821	0.027168	0.122996
1101	103.999	0.0175821	0.027129	0.120333
1151	109.192	0.0175821	0.027028	0.117019
1201	114.545	0.0175821	0.0268558	0.112858
1251	119.384	0.0176109	0.0266086	0.107998
1301	124.301	0.0177252	0.0262842	0.102885
1351	129.375	0.0177935	0.0258836	0.0980829
