t, istep, CFL
0.120747 20000 2.2
nodes: ID, x, y
1 -3 -3
2 -2.8 -3
3 -2.6 -3
4 -2.4 -3
5 -2.2 -3
6 -2 -3
7 -1.8 -3
8 -1.6 -3
9 -1.4 -3
10 -1.2 -3
11 -1 -3
12 -0.8 -3
13 -0.6 -3
14 -0.4 -3
15 -0.2 -3
16 4.44089e-16 -3
17 0.2 -3
18 0.4 -3
19 0.6 -3
20 0.8 -3
21 1 -3
22 1.2 -3
23 1.4 -3
24 1.6 -3
25 1.8 -3
26 2 -3
27 2.2 -3
28 2.4 -3
29 2.6 -3
30 2.8 -3
31 3 -3
32 3.2 -3
33 3.4 -3
34 3.6 -3
35 3.8 -3
36 4 -3
37 4.2 -3
38 4.4 -3
39 4.6 -3
40 4.8 -3
41 5 -3
42 5.2 -3
43 5.4 -3
44 5.6 -3
45 5.8 -3
46 6 -3
47 6.2 -3
48 6.4 -3
49 6.6 -3
50 6.8 -3
51 7 -3
52 7 -2.8
53 7 -2.6
54 7 -2.4
55 7 -2.2
56 7 -2
57 7 -1.8
58 7 -1.6
59 7 -1.4
60 7 -1.2
61 7 -1
62 7 -0.8
63 7 -0.6
64 7 -0.4
65 7 -0.2
66 7 0
67 7 0.2
68 7 0.4
69 7 0.6
70 7 0.8
71 7 1
72 7 1.2
73 7 1.4
74 7 1.6
75 7 1.8
76 7 2
77 7 2.2
78 7 2.4
79 7 2.6
80 7 2.8
81 7 3
82 6.8 3
83 6.6 3
84 6.4 3
85 6.2 3
86 6 3
87 5.8 3
88 5.6 3
89 5.4 3
90 5.2 3
91 5 3
92 4.8 3
93 4.6 3
94 4.4 3
95 4.2 3
96 4 3
97 3.8 3
98 3.6 3
99 3.4 3
100 3.2 3
101 3 3
102 2.8 3
103 2.6 3
104 2.4 3
105 2.2 3
106 2 3
107 1.8 3
108 1.6 3
109 1.4 3
110 1.2 3
111 1 3
112 0.8 3
113 0.6 3
114 0.4 3
115 0.2 3
116 8.88178e-16 3
117 -0.2 3
118 -0.4 3
119 -0.6 3
120 -0.8 3
121 -1 3
122 -1.2 3
123 -1.4 3
124 -1.6 3
125 -1.8 3
126 -2 3
127 -2.2 3
128 -2.4 3
129 -2.6 3
130 -2.8 3
131 -3 3
132 -3 2.8
133 -3 2.6
134 -3 2.4
135 -3 2.2
136 -3 2
137 -3 1.8
138 -3 1.6
139 -3 1.4
140 -3 1.2
141 -3 1
142 -3 0.8
143 -3 0.6
144 -3 0.4
145 -3 0.2
146 -3 0
147 -3 -0.2
148 -3 -0.4
149 -3 -0.6
150 -3 -0.8
151 -3 -1
152 -3 -1.2
153 -3 -1.4
154 -3 -1.6
155 -3 -1.8
156 -3 -2
157 -3 -2.2
158 -3 -2.4
159 -3 -2.6
160 -3 -2.8
161 -0.5 0
162 -0.497069 0.0540595
163 -0.48831 0.107485
164 -0.473827 0.159651
165 -0.453788 0.209945
166 -0.428429 0.257777
167 -0.398047 0.302587
168 -0.362998 0.34385
169 -0.323693 0.381081
170 -0.280594 0.413844
171 -0.234204 0.441756
172 -0.185069 0.464488
173 -0.133764 0.481775
174 -0.080891 0.493413
175 -0.0270695 0.499267
176 0.0270695 0.499267
177 0.080891 0.493413
178 0.133764 0.481775
179 0.185069 0.464488
180 0.234204 0.441756
181 0.280594 0.413844
182 0.323693 0.381081
183 0.362998 0.34385
184 0.398047 0.302587
185 0.428429 0.257777
186 0.453788 0.209945
187 0.473827 0.159651
188 0.48831 0.107485
189 0.497069 0.0540595
190 0.5 0
191 0.497069 -0.0540595
192 0.48831 -0.107485
193 0.473827 -0.159651
194 0.453788 -0.209945
195 0.428429 -0.257777
196 0.398047 -0.302587
197 0.362998 -0.34385
198 0.323693 -0.381081
199 0.280594 -0.413844
200 0.234204 -0.441756
201 0.185069 -0.464488
202 0.133764 -0.481775
203 0.080891 -0.493413
204 0.0270695 -0.499267
205 -0.0270695 -0.499267
206 -0.080891 -0.493413
207 -0.133764 -0.481775
208 -0.185069 -0.464488
209 -0.234204 -0.441756
210 -0.280594 -0.413844
211 -0.323693 -0.381081
212 -0.362998 -0.34385
213 -0.398047 -0.302587
214 -0.428429 -0.257777
215 -0.453788 -0.209945
216 -0.473827 -0.159651
217 -0.48831 -0.107485
218 -0.497069 -0.0540595
219 6.84952 -2.47019
220 -0.114759 -0.527707
221 -0.155315 -0.534583
222 0.320919 -2.82916
223 0.206155 -2.7095
224 0.122001 -2.83792
225 -2.83298 -2.83298
226 6.82543 2.8293
227 6.90447 2.90628
228 -2.83298 2.83298
229 6.81902 -2.82306
230 6.90476 -2.90576
231 0.24715 -0.694797
232 0.248245 -0.75459
233 0.295304 -0.72381
234 0.381923 -1.08184
235 0.381484 -1.20048
236 0.476945 -1.13847
237 0.16798 -2.54693
238 0.0654211 -2.66964
239 0.909148 -2.18242
240 0.877151 -2.01543
241 0.745003 -2.11968
242 -0.310475 -0.464908
243 -0.265059 -0.462547
244 0.0627684 -0.564128
245 0.0382131 -0.604048
246 0.0915634 -0.59301
247 0.900932 -2.88533
248 0.715652 -2.81694
249 -0.152379 -2.868
250 -0.0424182 -2.78199
251 -0.0077927 -0.570443
252 -0.00439644 -0.531649
253 -0.042291 -0.539095
254 -0.372096 -0.386866
255 -0.336189 -0.421415
256 -0.67717 -2.60596
257 -0.780568 -2.55208
258 -0.80935 -2.68762
259 1.10334 -1.96542
260 1.26421 -1.93627
261 1.09912 -1.83214
262 -0.597333 -0.888602
263 -0.514531 -0.849858
264 -0.584842 -0.819371
265 0.184431 -0.567455
266 0.141941 -0.526709
267 0.13701 -0.579233
268 1.06387 -2.86222
269 0.925138 -2.7475
270 -0.389033 -1.70165
271 -0.292393 -1.56926
272 -0.464707 -1.5343
273 0.126586 -0.6218
274 0.17651 -0.62758
275 -0.385203 -0.427416
276 -0.681549 -2.89098
277 -0.821841 -2.85601
278 1.23875 -2.83823
279 -0.64077 -0.533945
280 -0.687422 -0.588689
281 -0.622932 -0.596428
282 0.35557 -0.925171
283 0.299641 -0.868706
284 0.279082 -0.937391
285 -1.29847 -2.73133
286 -1.14058 -2.8483
287 -1.10559 -2.67139
288 1.54886 -2.85396
289 1.6857 -2.88594
290 1.66458 -2.77769
291 0.969954 -2.34357
292 1.06912 -2.21136
293 -0.827613 -0.858037
294 -0.762295 -0.785933
295 -0.85668 -0.768392
296 1.95055 -2.87893
297 1.81507 -2.79805
298 0.503577 -0.398976
299 0.467587 -0.369789
300 0.467422 -0.426823
301 2.28421 -1.99953
302 2.14415 -1.87832
303 2.13795 -2.05957
304 0.488263 -0.481881
305 0.529979 -0.441869
306 1.72046 -2.67712
307 1.85388 -2.62867
308 1.64069 -2.33884
309 1.68902 -2.51066
310 1.76764 -2.36633
311 0.41749 -0.395654
312 0.414063 -0.351124
313 0.377799 -0.37699
314 2.6869 -2.83228
315 2.84929 -2.80543
316 2.51099 -2.82699
317 1.38667 -1.02239
